	precision	recall	f1	accuracy	support
AMBIENCE	0.9444	0.6296	0.7555	0.6071	28.0
FOOD	0.9286	0.8571	0.8914	0.8041	97.0
GENERAL-IMPRESSION	0.7292	0.8537	0.7866	0.6481	54.0
PRICE	1.0	0.6923	0.8182	0.6923	13.0
SERVICE	0.9608	0.8305	0.8909	0.8033	61.0
Micro-AVG	0.8952	0.8139	0.8526	0.7431	253.0
Macro-AVG	0.9126	0.7726	0.8285		253
