epoch	precision	recall	f1
1	0.0889	0.0078	0.0144
2	0.3409	0.1468	0.2052
3	0.6771	0.2955	0.4114
4	0.6180	0.5793	0.5980
5	0.6564	0.5421	0.5938
6	0.6404	0.5401	0.5860
7	0.6526	0.5147	0.5755
8	0.6425	0.5558	0.5960
9	0.6692	0.5225	0.5868
10	0.6282	0.4795	0.5438
11	0.6735	0.5127	0.5822
12	0.6651	0.5558	0.6055
13	0.6518	0.5421	0.5919
14	0.6291	0.5675	0.5967
15	0.6596	0.5460	0.5974
16	0.6902	0.5362	0.6035
17	0.6581	0.5499	0.5991
18	0.6746	0.5558	0.6094
19	0.6944	0.5558	0.6174
20	0.6712	0.5832	0.6241
21	0.6931	0.5479	0.6120
22	0.6635	0.5519	0.6026
23	0.6828	0.5519	0.6104
24	0.6859	0.5597	0.6164
