	precision	recall	f1	accuracy	support
POSITIVE	0.8689	0.8198	0.8436	0.7296	318.0
NEUTRAL	0.6429	0.5294	0.5807	0.4091	22.0
NEGATIVE	0.8333	0.7364	0.7819	0.6419	148.0
Micro-AVG	0.8506	0.7832	0.8155	0.6885	488.0
Macro-AVG	0.7817	0.6952	0.7354		488
