	precision	recall	f1	accuracy	support
POSITIVE	0.0306	0.0366	0.0333	0.0169	177.0
NEUTRAL	0.0	0.0	0.0	0.0	13.0
NEGATIVE	0.0	0.0	0.0	0.0	77.0
Micro-AVG	0.0214	0.0231	0.0222	0.0112	267.0
Macro-AVG	0.0102	0.0122	0.0111		267
