	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7397	0.8182	0.777	0.6353	85.0
DRINKS#PRICES	0.4	0.5	0.4444	0.2857	7.0
DRINKS#QUALITY	0.9444	0.7727	0.85	0.7391	23.0
DRINKS#STYLE_OPTIONS	0.6364	0.5833	0.6087	0.4375	16.0
FOOD#PRICES	0.5312	0.7391	0.6182	0.4474	38.0
FOOD#QUALITY	0.8255	0.8466	0.836	0.7182	369.0
FOOD#STYLE_OPTIONS	0.5424	0.5818	0.5614	0.3902	82.0
LOCATION#GENERAL	0.45	0.6923	0.5455	0.375	24.0
RESTAURANT#GENERAL	0.8605	0.7817	0.8192	0.6937	160.0
RESTAURANT#MISCELLANEOUS	0.2564	0.303	0.2778	0.1613	62.0
RESTAURANT#PRICES	0.7222	0.619	0.6667	0.5	26.0
SERVICE#GENERAL	0.7919	0.8839	0.8354	0.7173	191.0
Micro-AVG	0.7506	0.7846	0.7672	0.6223	1083.0
Macro-AVG	0.6417	0.6768	0.6534		1083
