	precision	recall	f1	accuracy	support
POSITIVE	0.8352	0.7944	0.8143	0.6867	332.0
NEUTRAL	0.8421	0.8	0.8205	0.6957	23.0
NEGATIVE	0.765	0.7721	0.7685	0.6241	266.0
Micro-AVG	0.8055	0.7854	0.7953	0.6602	621.0
Macro-AVG	0.8141	0.7888	0.8011		621
