epoch	precision	recall	f1
1	0.3362	0.1048	0.1598
2	0.6638	0.4194	0.5140
3	0.6110	0.7473	0.6723
4	0.6860	0.6989	0.6924
5	0.6931	0.7527	0.7216
6	0.7304	0.6774	0.7029
7	0.7647	0.6640	0.7108
8	0.7601	0.7070	0.7326
9	0.7560	0.7581	0.7570
10	0.7568	0.7527	0.7547
11	0.7520	0.7500	0.7510
12	0.8018	0.7070	0.7514
13	0.7418	0.7339	0.7378
14	0.7642	0.6882	0.7242
15	0.7662	0.7312	0.7483
16	0.7597	0.7392	0.7493
17	0.7432	0.7392	0.7412
18	0.7731	0.7419	0.7572
19	0.8115	0.6828	0.7416
20	0.7435	0.7634	0.7533
21	0.7684	0.7312	0.7493
22	0.7588	0.7527	0.7557
23	0.7851	0.7366	0.7601
24	0.7241	0.7688	0.7458
25	0.8193	0.7312	0.7727
26	0.7881	0.7500	0.7686
27	0.8047	0.7419	0.7720
28	0.7871	0.7554	0.7709
29	0.7869	0.7446	0.7652
30	0.7875	0.7473	0.7669
