	precision	recall	f1	accuracy	support
POSITIVE	0.6716	0.6431	0.657	0.4892	372.0
NEUTRAL	0.6	0.1765	0.2728	0.1579	19.0
NEGATIVE	0.6721	0.6357	0.6534	0.4852	169.0
Micro-AVG	0.7688	0.7133	0.74	0.5873	521.0
Macro-AVG	0.6479	0.4851	0.5277		521
