	precision	recall	f1	accuracy	support
POSITIVE	0.8174	0.719	0.765	0.6195	318.0
NEUTRAL	0.6	0.6667	0.6316	0.4615	26.0
NEGATIVE	0.6968	0.665	0.6805	0.5157	254.0
Micro-AVG	0.7572	0.6953	0.7249	0.5686	598.0
Macro-AVG	0.7047	0.6836	0.6924		598
