epoch	precision	recall	f1
1	0.4452	0.2574	0.3262
2	0.7475	0.4455	0.5583
3	0.6974	0.6297	0.6618
4	0.7455	0.5743	0.6488
5	0.6955	0.6693	0.6821
6	0.7563	0.6574	0.7034
7	0.7737	0.5485	0.6419
8	0.7205	0.6535	0.6854
9	0.7228	0.6455	0.6820
10	0.7455	0.6495	0.6942
11	0.7112	0.6436	0.6757
12	0.7384	0.6594	0.6967
13	0.7320	0.6653	0.6971
14	0.7211	0.6297	0.6723
15	0.6983	0.6693	0.6835
16	0.7283	0.6317	0.6766
17	0.7255	0.6752	0.6995
18	0.7448	0.6416	0.6894
19	0.7052	0.6772	0.6909
20	0.7377	0.6515	0.6919
21	0.7374	0.6950	0.7156
22	0.7339	0.6554	0.6925
23	0.7364	0.6693	0.7012
24	0.7134	0.6851	0.6990
25	0.7228	0.6713	0.6961
26	0.7177	0.6594	0.6873
27	0.7432	0.6535	0.6955
28	0.7226	0.6653	0.6928
29	0.7345	0.6574	0.6938
30	0.7309	0.6614	0.6944
