	precision	recall	f1	accuracy	support
AMBIENCE	0.8864	0.661	0.7573	0.6094	64.0
FOOD	0.963	0.6019	0.7407	0.5882	221.0
GENERAL-IMPRESSION	0.8391	0.8111	0.8249	0.7019	104.0
PRICE	0.8947	0.5862	0.7083	0.5484	31.0
SERVICE	0.9596	0.7197	0.8225	0.6985	136.0
Micro-AVG	0.9219	0.673	0.778	0.6367	556.0
Macro-AVG	0.9086	0.676	0.7707		556
