	precision	recall	f1	accuracy	support
POSITIVE	0.8859	0.8233	0.8535	0.7444	313.0
NEUTRAL	0.4706	0.4706	0.4706	0.3077	26.0
NEGATIVE	0.7923	0.7984	0.7954	0.6603	156.0
Micro-AVG	0.839	0.8019	0.82	0.6949	495.0
Macro-AVG	0.7163	0.6974	0.7065		495
