epoch	precision	recall	f1
1	0.4831	0.1919	0.2747
2	0.5825	0.3805	0.4603
3	0.5969	0.5185	0.5550
4	0.5986	0.5623	0.5799
5	0.6329	0.6094	0.6209
6	0.6345	0.6195	0.6269
7	0.6750	0.6364	0.6551
8	0.7181	0.5488	0.6221
9	0.7068	0.5926	0.6447
10	0.6965	0.6027	0.6462
11	0.7057	0.6296	0.6655
12	0.6718	0.5926	0.6297
13	0.6722	0.6835	0.6778
14	0.6957	0.6465	0.6702
15	0.7007	0.6465	0.6725
16	0.7071	0.6667	0.6863
17	0.6768	0.6768	0.6768
18	0.6830	0.7037	0.6932
19	0.6812	0.6835	0.6824
20	0.7097	0.6667	0.6875
21	0.7065	0.6566	0.6806
22	0.7138	0.6633	0.6876
