	precision	recall	f1	accuracy	support
POSITIVE	0.875	0.7915	0.8312	0.7111	315.0
NEUTRAL	0.5	0.4706	0.4848	0.32	25.0
NEGATIVE	0.8661	0.7519	0.805	0.6736	144.0
Micro-AVG	0.8568	0.7669	0.8093	0.6798	484.0
Macro-AVG	0.747	0.6713	0.707		484
