epoch	precision	recall	f1
1	0.0750	0.0222	0.0343
2	0.4146	0.2519	0.3134
3	0.6583	0.5852	0.6196
4	0.6277	0.4370	0.5153
5	0.6312	0.6593	0.6449
6	0.6370	0.6370	0.6370
7	0.6500	0.6741	0.6618
8	0.6642	0.6593	0.6617
9	0.7222	0.5778	0.6420
10	0.6774	0.6222	0.6486
11	0.7063	0.6593	0.6820
12	0.7119	0.6222	0.6640
13	0.7167	0.6370	0.6745
14	0.7545	0.6148	0.6776
15	0.7544	0.6370	0.6908
16	0.7692	0.5926	0.6695
17	0.7315	0.5852	0.6502
18	0.7120	0.6593	0.6846
19	0.7541	0.6815	0.7160
20	0.7456	0.6296	0.6827
21	0.7477	0.6148	0.6748
22	0.7568	0.6222	0.6829
23	0.7083	0.6296	0.6667
24	0.7477	0.6148	0.6748
25	0.7241	0.6222	0.6693
26	0.7478	0.6370	0.6880
27	0.7745	0.5852	0.6667
28	0.7685	0.6148	0.6831
29	0.7500	0.6222	0.6802
30	0.7589	0.6296	0.6883
