	precision	recall	f1	accuracy	support
POSITIVE	0.6087	0.7527	0.6731	0.5072	414.0
NEUTRAL	0.5294	0.4737	0.5	0.3333	27.0
NEGATIVE	0.4444	0.5249	0.4813	0.3169	366.0
Micro-AVG	0.6597	0.7919	0.7198	0.5622	731.0
Macro-AVG	0.5275	0.5838	0.5515		731
