epoch	precision	recall	f1
1	0.4809	0.1760	0.2577
2	0.5983	0.5782	0.5881
3	0.7863	0.5140	0.6216
4	0.7770	0.6425	0.7034
5	0.7061	0.6508	0.6773
6	0.7130	0.6453	0.6774
7	0.7447	0.6844	0.7132
8	0.7595	0.6704	0.7122
9	0.7939	0.6564	0.7187
10	0.7577	0.6899	0.7222
11	0.8288	0.6760	0.7446
12	0.7676	0.7011	0.7328
13	0.7500	0.6788	0.7126
14	0.7583	0.7011	0.7286
15	0.7576	0.6983	0.7267
16	0.7974	0.6816	0.7349
17	0.7774	0.6732	0.7216
18	0.7595	0.7235	0.7411
19	0.8098	0.6899	0.7451
20	0.7994	0.6899	0.7406
21	0.8033	0.6844	0.7391
22	0.8103	0.6564	0.7253
23	0.8000	0.6816	0.7360
24	0.7917	0.6899	0.7373
25	0.7929	0.6844	0.7346
