	precision	recall	f1	accuracy	support
AMBIENCE	0.8571	0.6667	0.75	0.6	30.0
FOOD	0.8824	0.8242	0.8523	0.7426	101.0
GENERAL-IMPRESSION	0.8421	0.7805	0.8101	0.6809	47.0
PRICE	0.8333	0.7692	0.8	0.6667	15.0
SERVICE	0.9615	0.8475	0.9009	0.8197	61.0
Micro-AVG	0.8894	0.8009	0.8428	0.7283	254.0
Macro-AVG	0.8753	0.7776	0.8227		254
