epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.3099	0.2300	0.2640
3	0.5939	0.4739	0.5271
4	0.6172	0.5505	0.5820
5	0.6525	0.5366	0.5889
6	0.6604	0.4878	0.5611
7	0.5804	0.5784	0.5794
8	0.5700	0.5958	0.5826
9	0.6624	0.5470	0.5992
10	0.6541	0.6063	0.6293
11	0.7093	0.5610	0.6265
12	0.6816	0.6341	0.6570
13	0.6541	0.6063	0.6293
14	0.6287	0.6725	0.6498
15	0.6403	0.6202	0.6301
16	0.6370	0.6481	0.6425
17	0.6758	0.5157	0.5850
18	0.6360	0.6028	0.6190
19	0.6602	0.5958	0.6264
20	0.6613	0.5714	0.6131
21	0.6628	0.6028	0.6314
22	0.6718	0.6132	0.6412
23	0.6264	0.5958	0.6107
24	0.6581	0.6237	0.6404
25	0.6591	0.6063	0.6316
26	0.6654	0.6098	0.6364
27	0.6553	0.6028	0.6279
28	0.6540	0.5993	0.6255
