	precision	recall	f1	accuracy	support
AMBIENCE	0.8966	0.963	0.9286	0.8667	30.0
FOOD	0.8571	0.8571	0.8571	0.75	104.0
GENERAL-IMPRESSION	0.9394	0.7561	0.8378	0.7209	43.0
PRICE	0.7692	0.7692	0.7692	0.625	16.0
SERVICE	0.9623	0.8644	0.9107	0.8361	61.0
Micro-AVG	0.895	0.8485	0.8711	0.7717	254.0
Macro-AVG	0.8849	0.842	0.8607		254
