	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.6301	0.697	0.6619	0.4946	93.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	4.0
DRINKS#QUALITY	0.9231	0.5455	0.6857	0.5217	23.0
DRINKS#STYLE_OPTIONS	0.8889	0.6667	0.7619	0.6154	13.0
FOOD#PRICES	0.619	0.5652	0.5909	0.4194	31.0
FOOD#QUALITY	0.8077	0.738	0.7713	0.6277	368.0
FOOD#STYLE_OPTIONS	0.5319	0.4545	0.4902	0.3247	77.0
LOCATION#GENERAL	0.5	0.4615	0.48	0.3158	19.0
RESTAURANT#GENERAL	0.8621	0.7042	0.7752	0.6329	158.0
RESTAURANT#MISCELLANEOUS	0.2692	0.2121	0.2373	0.1346	52.0
RESTAURANT#PRICES	0.4545	0.4762	0.4651	0.303	33.0
SERVICE#GENERAL	0.7516	0.7613	0.7564	0.6082	194.0
Micro-AVG	0.7366	0.6705	0.702	0.5408	1065.0
Macro-AVG	0.6032	0.5235	0.5563		1065
