	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.3303	0.8372	0.4737	0.3103	116.0
DRINKS#PRICES	0.375	1.0	0.5455	0.375	8.0
DRINKS#QUALITY	0.75	0.375	0.5	0.3333	9.0
DRINKS#STYLE_OPTIONS	1.0	0.5	0.6667	0.5	6.0
FOOD#PRICES	0.7273	0.5	0.5926	0.4211	19.0
FOOD#QUALITY	0.7076	0.8067	0.7539	0.605	200.0
FOOD#STYLE_OPTIONS	0.1667	0.0455	0.0714	0.037	27.0
LOCATION#GENERAL	0.1379	0.8	0.2353	0.1333	30.0
RESTAURANT#GENERAL	0.374	0.7	0.4876	0.3224	152.0
RESTAURANT#MISCELLANEOUS	0.0909	0.1176	0.1026	0.0541	37.0
RESTAURANT#PRICES	0.4	0.5714	0.4706	0.3077	26.0
SERVICE#GENERAL	0.5872	0.8533	0.6957	0.5333	120.0
Micro-AVG	0.4848	0.704	0.5741	0.4027	750.0
Macro-AVG	1.4117	1.7767	1.3989		750
