epoch	precision	recall	f1
1	0.2658	0.0732	0.1148
2	0.5128	0.3484	0.4149
3	0.5157	0.5714	0.5421
4	0.5764	0.4599	0.5116
5	0.7273	0.5017	0.5938
6	0.7252	0.5610	0.6326
7	0.7422	0.5819	0.6523
8	0.7295	0.6202	0.6704
9	0.7231	0.6098	0.6616
10	0.7031	0.6272	0.6630
11	0.7373	0.6063	0.6654
12	0.7148	0.6376	0.6740
13	0.7176	0.6376	0.6753
14	0.7344	0.6167	0.6705
15	0.7163	0.7038	0.7100
16	0.7583	0.6341	0.6907
17	0.7574	0.6202	0.6820
18	0.7154	0.6307	0.6704
19	0.7386	0.6794	0.7078
20	0.7090	0.6620	0.6847
21	0.7303	0.6794	0.7040
22	0.7235	0.6655	0.6933
