	precision	recall	f1	accuracy	support
POSITIVE	0.9167	0.7804	0.8431	0.7287	317.0
NEUTRAL	0.7391	0.7727	0.7556	0.6071	28.0
NEGATIVE	0.8639	0.7933	0.8271	0.7051	234.0
Micro-AVG	0.8863	0.7852	0.8327	0.7133	579.0
Macro-AVG	0.8399	0.7821	0.8086		579
