	precision	recall	f1	accuracy	support
POSITIVE	0.8267	0.7561	0.7898	0.6526	95.0
NEUTRAL	1.0	0.75	0.8571	0.75	8.0
NEGATIVE	0.78	0.8298	0.8041	0.6724	58.0
Micro-AVG	0.8168	0.781	0.7985	0.6646	161.0
Macro-AVG	0.8689	0.7786	0.817		161
