	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4	0.8837	0.5507	0.38	100.0
DRINKS#PRICES	0.375	1.0	0.5455	0.375	8.0
DRINKS#QUALITY	0.6667	0.25	0.3636	0.2222	9.0
DRINKS#STYLE_OPTIONS	1.0	0.3333	0.5	0.3333	6.0
FOOD#PRICES	0.6667	0.5	0.5714	0.4	20.0
FOOD#QUALITY	0.7697	0.9133	0.8354	0.7173	191.0
FOOD#STYLE_OPTIONS	0.3333	0.1818	0.2353	0.1333	30.0
LOCATION#GENERAL	0.3333	0.6	0.4286	0.2727	11.0
RESTAURANT#GENERAL	0.5854	0.6857	0.6316	0.4615	104.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	19.0
RESTAURANT#PRICES	0.625	0.7143	0.6667	0.5	20.0
SERVICE#GENERAL	0.7949	0.8267	0.8105	0.6813	91.0
Micro-AVG	0.6378	0.7389	0.6847	0.5205	609.0
Macro-AVG	1.6375	1.7222	1.5348		609
