epoch	precision	recall	f1
1	0.1573	0.0631	0.0900
2	0.6273	0.4550	0.5274
3	0.6738	0.5676	0.6161
4	0.6751	0.5991	0.6348
5	0.6895	0.5901	0.6359
6	0.7396	0.5631	0.6394
7	0.6779	0.6351	0.6558
8	0.6923	0.6081	0.6475
9	0.7128	0.6261	0.6667
10	0.6980	0.6351	0.6651
11	0.7071	0.6306	0.6667
12	0.7121	0.6351	0.6714
13	0.7277	0.6261	0.6731
14	0.6907	0.6036	0.6442
15	0.7432	0.6126	0.6716
16	0.7110	0.5541	0.6228
17	0.6863	0.6306	0.6573
18	0.7128	0.6261	0.6667
19	0.7182	0.5856	0.6452
20	0.7158	0.6126	0.6602
21	0.7005	0.5901	0.6406
22	0.6923	0.6486	0.6698
23	0.6995	0.6081	0.6506
24	0.7472	0.5991	0.6650
25	0.7166	0.6036	0.6553
26	0.6938	0.6532	0.6729
27	0.7113	0.6216	0.6635
28	0.6984	0.5946	0.6423
29	0.6990	0.6171	0.6555
30	0.6959	0.6081	0.6490
