	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.625	0.5769	0.6	0.4286	35.0
DRINKS#PRICES	0.0	0.0	0.0	0.0	3.0
DRINKS#QUALITY	0.6667	0.4	0.5	0.3333	6.0
DRINKS#STYLE_OPTIONS	0.5	0.5	0.5	0.3333	6.0
FOOD#PRICES	0.6667	0.2	0.3077	0.1818	11.0
FOOD#QUALITY	0.8493	0.7381	0.7898	0.6526	95.0
FOOD#STYLE_OPTIONS	0.4444	0.3077	0.3636	0.2222	18.0
LOCATION#GENERAL	0.1667	0.6667	0.2667	0.1538	13.0
RESTAURANT#GENERAL	0.7083	0.8293	0.764	0.6182	55.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	11.0
RESTAURANT#PRICES	0.5	0.7778	0.6087	0.4375	16.0
SERVICE#GENERAL	0.8372	0.8182	0.8276	0.7059	51.0
Micro-AVG	0.7064	0.6614	0.6831	0.5188	320.0
Macro-AVG	0.497	0.4846	0.4607		320
