	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4848	0.7442	0.5872	0.4156	77.0
DRINKS#PRICES	0.5	1.0	0.6667	0.5	6.0
DRINKS#QUALITY	0.5	0.375	0.4286	0.2727	11.0
DRINKS#STYLE_OPTIONS	1.0	0.5	0.6667	0.5	6.0
FOOD#PRICES	0.5833	0.4375	0.5	0.3333	21.0
FOOD#QUALITY	0.8667	0.6067	0.7137	0.5549	164.0
FOOD#STYLE_OPTIONS	0.25	0.3182	0.28	0.1628	43.0
LOCATION#GENERAL	0.1364	0.6	0.2222	0.125	24.0
RESTAURANT#GENERAL	0.622	0.7286	0.6711	0.505	101.0
RESTAURANT#MISCELLANEOUS	0.0	0.0	0.0	0.0	22.0
RESTAURANT#PRICES	0.7143	0.7143	0.7143	0.5556	18.0
SERVICE#GENERAL	0.831	0.7867	0.8082	0.6782	87.0
Micro-AVG	0.6405	0.627	0.6337	0.4638	580.0
Macro-AVG	0.5407	0.5676	0.5216		580
