	precision	recall	f1	accuracy	support
POSITIVE	0.8485	0.6926	0.7626	0.6164	318.0
NEUTRAL	0.3333	0.2353	0.2759	0.16	25.0
NEGATIVE	0.8571	0.6977	0.7692	0.625	144.0
Micro-AVG	0.8333	0.676	0.7465	0.5955	487.0
Macro-AVG	0.6796	0.5419	0.6026		487
