	precision	recall	f1	accuracy	support
POSITIVE	0.6818	0.4839	0.566	0.3947	76.0
NEUTRAL	0.5	0.4	0.4444	0.2857	7.0
NEGATIVE	0.5	0.4	0.4444	0.2857	70.0
Micro-AVG	0.5909	0.4444	0.5073	0.3399	153.0
Macro-AVG	0.5606	0.428	0.4849		153
