	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.6316	0.75	0.6857	0.5217	23.0
AMBIENCE:NEUTRAL	0.2	1.0	0.3333	0.2	5.0
AMBIENCE:POSITIVE	0.9583	0.5476	0.697	0.5349	43.0
FOOD:NEGATIVE	0.8088	0.7432	0.7746	0.6322	87.0
FOOD:NEUTRAL	0.5882	0.6667	0.625	0.4545	22.0
FOOD:POSITIVE	0.9178	0.5276	0.67	0.5038	133.0
PRICE:NEGATIVE	0.9333	0.6364	0.7568	0.6087	23.0
PRICE:NEUTRAL	0.3333	0.5	0.4	0.25	4.0
PRICE:POSITIVE	1.0	0.8	0.8889	0.8	5.0
GENERAL-IMPRESSION:NEGATIVE	0.6122	0.7692	0.6818	0.5172	58.0
GENERAL-IMPRESSION:NEUTRAL	0.3333	0.6667	0.4444	0.2857	7.0
GENERAL-IMPRESSION:POSITIVE	0.434	0.9583	0.5974	0.4259	108.0
SERVICE:NEGATIVE	0.8667	0.6842	0.7647	0.619	63.0
SERVICE:NEUTRAL	0.0	0.0	0.0	0.0	3.0
SERVICE:POSITIVE	0.9649	0.7432	0.8397	0.7237	76.0
Micro-AVG	0.7282	0.6825	0.7046	0.5439	660.0
Macro-AVG	0.6388	0.6662	0.6106		660
