epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.5573	0.3957	0.4628
3	0.6106	0.5610	0.5847
4	0.6186	0.4878	0.5455
5	0.6519	0.4770	0.5509
6	0.6923	0.4878	0.5723
7	0.6397	0.5149	0.5706
8	0.6270	0.6287	0.6279
9	0.6657	0.6314	0.6481
10	0.6607	0.5962	0.6268
11	0.6431	0.5908	0.6158
12	0.6842	0.5285	0.5963
13	0.6884	0.5149	0.5891
14	0.6972	0.6179	0.6552
15	0.6844	0.5583	0.6149
16	0.6814	0.5854	0.6297
17	0.6937	0.6260	0.6581
18	0.6835	0.5501	0.6096
19	0.7292	0.5691	0.6393
20	0.6964	0.5718	0.6280
21	0.6984	0.5772	0.6320
22	0.7053	0.5772	0.6349
