	precision	recall	f1	accuracy	support
POSITIVE	0.4561	0.711	0.5557	0.3848	486.0
NEUTRAL	0.3158	0.6316	0.4211	0.2667	45.0
NEGATIVE	0.3256	0.6106	0.4247	0.2696	471.0
Micro-AVG	0.4988	0.8531	0.6295	0.4593	910.0
Macro-AVG	0.3658	0.6511	0.4672		910
