	precision	recall	f1	accuracy	support
AMBIENCE	0.5075	0.5763	0.5397	0.3696	92.0
FOOD	0.7758	0.8009	0.7882	0.6504	266.0
GENERAL-IMPRESSION	0.7396	0.7889	0.7634	0.6174	115.0
PRICE	0.6154	0.5517	0.5818	0.4103	39.0
SERVICE	0.8779	0.8712	0.8745	0.777	148.0
Micro-AVG	0.7532	0.7776	0.7652	0.6197	660.0
Macro-AVG	0.7032	0.7178	0.7095		660
