	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.4565	0.8077	0.5833	0.4118	51.0
DRINKS#PRICES	0.25	0.5	0.3333	0.2	5.0
DRINKS#QUALITY	0.6667	0.4	0.5	0.3333	6.0
DRINKS#STYLE_OPTIONS	0.6667	1.0	0.8	0.6667	6.0
FOOD#PRICES	0.4286	0.3	0.3529	0.2143	14.0
FOOD#QUALITY	0.7172	0.8452	0.776	0.6339	112.0
FOOD#STYLE_OPTIONS	0.3333	0.4615	0.3871	0.24	25.0
LOCATION#GENERAL	0.0588	0.6667	0.1081	0.0571	35.0
RESTAURANT#GENERAL	0.3301	0.8293	0.4722	0.3091	110.0
RESTAURANT#MISCELLANEOUS	0.1111	0.1	0.1053	0.0556	18.0
RESTAURANT#PRICES	0.5333	0.8889	0.6667	0.5	16.0
SERVICE#GENERAL	0.5781	0.8409	0.6852	0.5211	71.0
Micro-AVG	0.4657	0.757	0.5766	0.4051	469.0
Macro-AVG	0.4275	0.6367	0.4808		469
