epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.7879	0.1092	0.1919
3	0.6667	0.4286	0.5217
4	0.6500	0.6008	0.6245
5	0.6505	0.5630	0.6036
6	0.6887	0.6134	0.6489
7	0.6532	0.6807	0.6667
8	0.6886	0.6597	0.6738
9	0.6920	0.6513	0.6710
10	0.6737	0.6681	0.6709
11	0.7136	0.6176	0.6622
12	0.6949	0.6891	0.6920
13	0.6754	0.6471	0.6609
14	0.6783	0.6555	0.6667
15	0.6920	0.6513	0.6710
16	0.6426	0.6345	0.6385
17	0.6814	0.6471	0.6638
18	0.6349	0.6723	0.6531
19	0.6967	0.6176	0.6548
20	0.6557	0.6723	0.6639
21	0.6710	0.6513	0.6610
22	0.6696	0.6387	0.6538
23	0.6797	0.6597	0.6695
24	0.7009	0.6303	0.6637
25	0.6941	0.6387	0.6652
26	0.6875	0.6471	0.6667
27	0.6889	0.6513	0.6695
28	0.6826	0.6597	0.6709
29	0.7040	0.6597	0.6811
30	0.7040	0.6597	0.6811
