	precision	recall	f1	accuracy	support
POSITIVE	0.8661	0.873	0.8696	0.7692	143.0
NEUTRAL	0.7	0.6364	0.6667	0.5	14.0
NEGATIVE	0.8889	0.8511	0.8696	0.7692	104.0
Micro-AVG	0.8678	0.8528	0.8603	0.7548	261.0
Macro-AVG	0.8183	0.7868	0.802		261
