epoch	precision	recall	f1
1	0.5867	0.2376	0.3382
2	0.6545	0.5207	0.5800
3	0.6596	0.7045	0.6813
4	0.7411	0.6446	0.6895
5	0.7621	0.6157	0.6811
6	0.7579	0.6405	0.6943
7	0.7775	0.6426	0.7036
8	0.8238	0.6570	0.7310
9	0.7623	0.6426	0.6973
10	0.7850	0.6260	0.6966
11	0.7594	0.6260	0.6863
12	0.7833	0.6570	0.7146
13	0.7713	0.6550	0.7084
14	0.7500	0.7128	0.7309
15	0.7621	0.6818	0.7197
16	0.7873	0.6426	0.7076
17	0.7433	0.6880	0.7146
18	0.7468	0.7128	0.7294
19	0.7812	0.6860	0.7305
20	0.7879	0.6446	0.7091
21	0.7808	0.7066	0.7419
22	0.7770	0.6983	0.7356
23	0.7770	0.6839	0.7275
24	0.7581	0.6798	0.7168
25	0.7700	0.6570	0.7090
26	0.7722	0.6653	0.7148
27	0.7674	0.6612	0.7103
28	0.7799	0.6880	0.7311
29	0.7671	0.6736	0.7173
30	0.7622	0.6756	0.7163
