	precision	recall	f1	accuracy	support
POSITIVE	0.8391	0.652	0.7338	0.5796	333.0
NEUTRAL	0.8333	0.6818	0.75	0.6	25.0
NEGATIVE	0.7914	0.6202	0.6954	0.5331	242.0
Micro-AVG	0.9148	0.7148	0.8026	0.6702	561.0
Macro-AVG	0.8213	0.6513	0.7264		561
