	precision	recall	f1	accuracy	support
AMBIENCE	0.4286	0.5	0.4615	0.3	20.0
FOOD	0.7111	0.7273	0.7191	0.5614	57.0
GENERAL-IMPRESSION	0.7391	0.8095	0.7727	0.6296	27.0
PRICE	0.5714	0.5	0.5333	0.3636	11.0
SERVICE	0.8387	0.8125	0.8254	0.7027	37.0
Micro-AVG	0.7083	0.7265	0.7173	0.5592	152.0
Macro-AVG	0.6578	0.6699	0.6624		152
