	precision	recall	f1	accuracy	support
POSITIVE	0.7423	0.6729	0.7059	0.5455	264.0
NEUTRAL	0.3333	0.3333	0.3333	0.2	20.0
NEGATIVE	0.7297	0.6067	0.6626	0.4954	109.0
Micro-AVG	0.7214	0.6413	0.679	0.514	393.0
Macro-AVG	0.6018	0.5376	0.5673		393
