	precision	recall	f1	accuracy	support
POSITIVE	0.6886	0.697	0.6928	0.53	217.0
NEUTRAL	0.625	0.4545	0.5263	0.3571	14.0
NEGATIVE	0.7368	0.7467	0.7417	0.5895	95.0
Micro-AVG	0.7769	0.7769	0.7769	0.6352	307.0
Macro-AVG	0.6835	0.6327	0.6536		307
