epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.4316	0.3130	0.3628
3	0.6420	0.3969	0.4906
4	0.6238	0.4809	0.5431
5	0.5423	0.5878	0.5641
6	0.7024	0.4504	0.5488
7	0.5833	0.6412	0.6109
8	0.6638	0.5878	0.6235
9	0.7444	0.5115	0.6063
10	0.7477	0.6107	0.6723
11	0.6214	0.6641	0.6421
12	0.6780	0.6107	0.6426
13	0.7069	0.6260	0.6640
14	0.7451	0.5802	0.6524
15	0.7241	0.6412	0.6802
16	0.7353	0.5725	0.6438
17	0.7684	0.5573	0.6460
18	0.6638	0.5878	0.6235
19	0.7383	0.6031	0.6639
20	0.6797	0.6641	0.6718
21	0.7576	0.5725	0.6522
22	0.7200	0.5496	0.6234
23	0.7157	0.5573	0.6266
24	0.7064	0.5878	0.6417
25	0.6975	0.6336	0.6640
26	0.6983	0.6183	0.6559
27	0.7207	0.6107	0.6612
28	0.7477	0.6336	0.6860
29	0.7304	0.6412	0.6829
30	0.7281	0.6336	0.6776
