	precision	recall	f1	accuracy	support
POSITIVE	0.7209	0.7561	0.7381	0.5849	106.0
NEUTRAL	0.5	0.1111	0.1818	0.1	10.0
NEGATIVE	0.8056	0.7436	0.7734	0.6304	46.0
Micro-AVG	0.7419	0.7077	0.7244	0.5679	162.0
Macro-AVG	0.6755	0.5369	0.5644		162
