	precision	recall	f1	accuracy	support
POSITIVE	0.8704	0.7581	0.8104	0.6812	69.0
NEUTRAL	0.5	0.4	0.4444	0.2857	7.0
NEGATIVE	0.8043	0.74	0.7708	0.6271	59.0
Micro-AVG	0.8269	0.735	0.7782	0.637	135.0
Macro-AVG	0.7249	0.6327	0.6752		135
