	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.375	0.6923	0.4865	0.3214	56.0
DRINKS#PRICES	0.0909	0.5	0.1538	0.0833	12.0
DRINKS#QUALITY	0.75	0.6	0.6667	0.5	6.0
DRINKS#STYLE_OPTIONS	0.1071	0.75	0.1874	0.1034	29.0
FOOD#PRICES	0.3158	0.6	0.4138	0.2609	23.0
FOOD#QUALITY	0.2328	0.9286	0.3723	0.2287	341.0
FOOD#STYLE_OPTIONS	0.05	0.6923	0.0933	0.0489	184.0
LOCATION#GENERAL	0.0714	0.6667	0.129	0.069	29.0
RESTAURANT#GENERAL	0.1554	0.7317	0.2564	0.1471	204.0
RESTAURANT#MISCELLANEOUS	0.0851	0.4	0.1403	0.0755	53.0
RESTAURANT#PRICES	0.2162	0.8889	0.3478	0.2105	38.0
SERVICE#GENERAL	0.1733	0.8864	0.2899	0.1696	230.0
Micro-AVG	0.174	0.8008	0.2859	0.1668	1205.0
Macro-AVG	0.2186	0.6947	0.2948		1205
