	precision	recall	f1	accuracy	support
AMBIENCE	0.7742	0.8889	0.8276	0.7059	34.0
FOOD	0.9136	0.8132	0.8605	0.7551	98.0
GENERAL-IMPRESSION	0.8537	0.8537	0.8537	0.7447	47.0
PRICE	1.0	0.8462	0.9167	0.8462	13.0
SERVICE	1.0	0.8475	0.9174	0.8475	59.0
Micro-AVG	0.9065	0.8398	0.8719	0.7729	251.0
Macro-AVG	0.9083	0.8499	0.8752		251
