	precision	recall	f1	accuracy	support
POSITIVE	0.8188	0.8188	0.8188	0.6933	326.0
NEUTRAL	0.5714	0.25	0.3478	0.2105	19.0
NEGATIVE	0.8083	0.7823	0.7951	0.6599	147.0
Micro-AVG	0.8114	0.7861	0.7985	0.6646	492.0
Macro-AVG	0.7328	0.617	0.6539		492
