	precision	recall	f1	accuracy	support
AMBIENCE:NEGATIVE	0.3077	0.75	0.4364	0.2791	43.0
AMBIENCE:NEUTRAL	0.125	1.0	0.2222	0.125	8.0
AMBIENCE:POSITIVE	0.5873	0.881	0.7048	0.5441	68.0
FOOD:NEGATIVE	0.6667	0.8919	0.763	0.6168	107.0
FOOD:NEUTRAL	0.7778	0.9333	0.8485	0.7368	19.0
FOOD:POSITIVE	0.8112	0.9134	0.8593	0.7532	154.0
PRICE:NEGATIVE	0.8182	0.8182	0.8182	0.6923	26.0
PRICE:NEUTRAL	0.5	1.0	0.6667	0.5	4.0
PRICE:POSITIVE	1.0	0.8	0.8889	0.8	5.0
GENERAL-IMPRESSION:NEGATIVE	0.6	0.9231	0.7273	0.5714	63.0
GENERAL-IMPRESSION:NEUTRAL	0.5	0.6667	0.5714	0.4	5.0
GENERAL-IMPRESSION:POSITIVE	0.5238	0.9167	0.6667	0.5	88.0
SERVICE:NEGATIVE	0.5747	0.8772	0.6944	0.5319	94.0
SERVICE:NEUTRAL	0.1667	1.0	0.2857	0.1667	6.0
SERVICE:POSITIVE	0.7253	0.8919	0.8	0.6667	99.0
Micro-AVG	0.6407	0.8916	0.7456	0.5944	789.0
Macro-AVG	0.579	0.8842	0.6636		789
