	precision	recall	f1	accuracy	support
POSITIVE	0.4011	0.5299	0.4566	0.2958	480.0
NEUTRAL	0.1111	0.0714	0.087	0.0455	22.0
NEGATIVE	0.4595	0.5812	0.5132	0.3452	197.0
Micro-AVG	0.544	0.6967	0.611	0.4399	632.0
Macro-AVG	0.3239	0.3942	0.3523		632
