epoch	precision	recall	f1
1	0.5833	0.0593	0.1077
2	0.4757	0.4153	0.4434
3	0.6034	0.2966	0.3977
4	0.5366	0.3729	0.4400
5	0.6421	0.5169	0.5728
6	0.5773	0.4746	0.5209
7	0.6058	0.5339	0.5676
8	0.6731	0.5932	0.6306
9	0.6449	0.5847	0.6133
10	0.6705	0.5000	0.5728
11	0.6018	0.5763	0.5887
12	0.6325	0.6271	0.6298
13	0.6628	0.4831	0.5588
14	0.6627	0.4661	0.5473
15	0.6364	0.5339	0.5806
16	0.6395	0.4661	0.5392
17	0.6036	0.5678	0.5852
18	0.6200	0.5254	0.5688
19	0.6117	0.5339	0.5701
20	0.6000	0.5593	0.5789
21	0.6809	0.5424	0.6038
22	0.6813	0.5254	0.5933
23	0.6966	0.5254	0.5990
24	0.7317	0.5085	0.6000
25	0.6988	0.4915	0.5771
26	0.6989	0.5508	0.6161
27	0.7079	0.5339	0.6087
28	0.7159	0.5339	0.6117
29	0.7174	0.5593	0.6286
30	0.7222	0.5508	0.6250
