	precision	recall	f1	accuracy	support
AMBIENCE	0.9545	0.7119	0.8155	0.6885	61.0
FOOD	0.9917	0.5509	0.7083	0.5484	217.0
GENERAL-IMPRESSION	0.8681	0.8778	0.8729	0.7745	102.0
PRICE	0.9167	0.7586	0.8302	0.7097	31.0
SERVICE	0.9262	0.8561	0.8898	0.8014	141.0
Micro-AVG	0.9352	0.7129	0.8091	0.6793	552.0
Macro-AVG	0.9314	0.7511	0.8233		552
