epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.5915	0.3231	0.4179
3	0.7490	0.4897	0.5922
4	0.8046	0.3590	0.4965
5	0.7157	0.5487	0.6212
6	0.6781	0.5077	0.5806
7	0.7578	0.6256	0.6854
8	0.7445	0.6051	0.6676
9	0.7390	0.6462	0.6895
10	0.6747	0.6487	0.6614
11	0.7090	0.5872	0.6424
12	0.6882	0.6282	0.6568
13	0.6822	0.6769	0.6795
14	0.7588	0.6051	0.6733
15	0.7262	0.6256	0.6722
16	0.7386	0.6231	0.6759
17	0.7224	0.6538	0.6864
18	0.7083	0.6538	0.6800
19	0.7335	0.6282	0.6768
20	0.7201	0.6333	0.6739
21	0.7213	0.6436	0.6802
22	0.7324	0.6385	0.6822
