epoch	precision	recall	f1
1	0.1250	0.0360	0.0559
2	0.3623	0.2252	0.2778
3	0.5714	0.3243	0.4138
4	0.7167	0.3874	0.5029
5	0.6951	0.5135	0.5907
6	0.6322	0.4955	0.5556
7	0.5946	0.5946	0.5946
8	0.5825	0.5405	0.5607
9	0.6667	0.5586	0.6078
10	0.6966	0.5586	0.6200
11	0.6633	0.5856	0.6220
12	0.6392	0.5586	0.5962
13	0.6526	0.5586	0.6019
14	0.6458	0.5586	0.5990
15	0.6484	0.5315	0.5842
16	0.6117	0.5676	0.5888
17	0.6354	0.5495	0.5894
18	0.6264	0.5135	0.5644
19	0.6854	0.5495	0.6100
20	0.6702	0.5676	0.6146
21	0.6562	0.5676	0.6087
22	0.6813	0.5586	0.6139
23	0.6095	0.5766	0.5926
24	0.6768	0.6036	0.6381
25	0.6559	0.5495	0.5980
26	0.6598	0.5766	0.6154
27	0.6495	0.5676	0.6058
28	0.6531	0.5766	0.6124
29	0.6500	0.5856	0.6161
30	0.6436	0.5856	0.6132
