	precision	recall	f1	accuracy	support
POSITIVE	0.7818	0.6825	0.7288	0.5733	150.0
NEUTRAL	0.8	0.3636	0.5	0.3333	12.0
NEGATIVE	0.7595	0.6383	0.6936	0.531	113.0
Micro-AVG	0.8969	0.7532	0.8188	0.6932	251.0
Macro-AVG	0.7804	0.5615	0.6408		251
