	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.7083	0.7727	0.7391	0.5862	87.0
DRINKS#PRICES	0.5	0.25	0.3333	0.2	5.0
DRINKS#QUALITY	0.8889	0.7273	0.8	0.6667	24.0
DRINKS#STYLE_OPTIONS	0.6667	0.5	0.5714	0.4	15.0
FOOD#PRICES	0.6	0.6522	0.625	0.4545	33.0
FOOD#QUALITY	0.8277	0.7061	0.7621	0.6156	359.0
FOOD#STYLE_OPTIONS	0.6111	0.4	0.4835	0.3188	69.0
LOCATION#GENERAL	0.4	0.4615	0.4286	0.2727	22.0
RESTAURANT#GENERAL	0.8814	0.7324	0.8	0.6667	156.0
RESTAURANT#MISCELLANEOUS	0.2632	0.1515	0.1923	0.1064	47.0
RESTAURANT#PRICES	0.7368	0.6667	0.7	0.5385	26.0
SERVICE#GENERAL	0.8092	0.7935	0.8013	0.6685	184.0
Micro-AVG	0.7766	0.6799	0.725	0.5686	1027.0
Macro-AVG	0.6578	0.5678	0.6031		1027
