	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.8125	0.6047	0.6933	0.5306	49.0
DRINKS#PRICES	0.4286	1.0	0.6	0.4286	7.0
DRINKS#QUALITY	0.6667	0.5	0.5714	0.4	10.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.7143	0.625	0.6667	0.5	20.0
FOOD#QUALITY	0.8621	0.8333	0.8475	0.7353	170.0
FOOD#STYLE_OPTIONS	0.5	0.4091	0.45	0.2903	31.0
LOCATION#GENERAL	0.2353	0.8	0.3636	0.2222	18.0
RESTAURANT#GENERAL	0.6627	0.7857	0.719	0.5612	98.0
RESTAURANT#MISCELLANEOUS	0.1111	0.0588	0.0769	0.04	25.0
RESTAURANT#PRICES	0.75	0.2143	0.3333	0.2	15.0
SERVICE#GENERAL	0.8667	0.8667	0.8667	0.7647	85.0
Micro-AVG	0.7464	0.7203	0.7331	0.5787	534.0
Macro-AVG	1.9025	1.8411	1.7471		534
