	precision	recall	f1	accuracy	support
AMBIENCE#GENERAL	0.75	0.5581	0.64	0.4706	51.0
DRINKS#PRICES	0.2857	0.6667	0.4	0.25	8.0
DRINKS#QUALITY	0.5	0.375	0.4286	0.2727	11.0
DRINKS#STYLE_OPTIONS	1.0	0.6667	0.8	0.6667	6.0
FOOD#PRICES	0.6429	0.5625	0.6	0.4286	21.0
FOOD#QUALITY	0.8069	0.78	0.7932	0.6573	178.0
FOOD#STYLE_OPTIONS	0.3889	0.3182	0.35	0.2121	33.0
LOCATION#GENERAL	0.1765	0.6	0.2727	0.1579	19.0
RESTAURANT#GENERAL	0.6627	0.7857	0.719	0.5612	98.0
RESTAURANT#MISCELLANEOUS	0.1111	0.0588	0.0769	0.04	25.0
RESTAURANT#PRICES	0.5	0.1429	0.2222	0.125	16.0
SERVICE#GENERAL	0.7867	0.7867	0.7867	0.6484	91.0
Micro-AVG	0.6908	0.6667	0.6785	0.5135	557.0
Macro-AVG	0.5509	0.5251	0.5074		557
