	precision	recall	f1	accuracy	support
POSITIVE	0.0127	0.009	0.0105	0.0053	379.0
NEUTRAL	0.0	0.0	0.0	0.0	18.0
NEGATIVE	0.0154	0.0135	0.0144	0.0072	138.0
Micro-AVG	0.0128	0.0099	0.0112	0.0056	535.0
Macro-AVG	0.0094	0.0075	0.0083		535
