epoch	precision	recall	f1
1	0.0000	0.0000	0.0000
2	0.6250	0.5065	0.5595
3	0.6154	0.5403	0.5754
4	0.7039	0.5558	0.6212
5	0.7054	0.4727	0.5661
6	0.7391	0.5740	0.6462
7	0.7119	0.5455	0.6176
8	0.7270	0.5740	0.6415
9	0.6718	0.6753	0.6736
10	0.7386	0.5870	0.6541
11	0.7584	0.5870	0.6618
12	0.7476	0.6156	0.6752
13	0.7477	0.6312	0.6845
14	0.7213	0.6519	0.6849
15	0.7585	0.6364	0.6921
16	0.7532	0.6182	0.6790
17	0.7316	0.6442	0.6851
18	0.7447	0.6364	0.6863
19	0.7732	0.6286	0.6934
20	0.7692	0.6494	0.7042
21	0.7910	0.6390	0.7069
22	0.7903	0.6364	0.7050
