	precision	recall	f1	accuracy	support
POSITIVE	0.023	0.0258	0.0243	0.0123	406.0
NEUTRAL	0.0	0.0	0.0	0.0	31.0
NEGATIVE	0.0	0.0	0.0	0.0	278.0
Micro-AVG	0.014	0.0138	0.0139	0.007	715.0
Macro-AVG	0.0077	0.0086	0.0081		715
