	precision	recall	f1	accuracy	support
POSITIVE	0.8456	0.8289	0.8372	0.72	175.0
NEUTRAL	0.9	0.8182	0.8571	0.75	12.0
NEGATIVE	0.8068	0.7802	0.7933	0.6574	108.0
Micro-AVG	0.834	0.811	0.8224	0.6983	295.0
Macro-AVG	0.8508	0.8091	0.8292		295
