	precision	recall	f1	accuracy	support
POSITIVE	0.6296	0.4121	0.4982	0.3317	205.0
NEUTRAL	0.2222	0.1818	0.2	0.1111	18.0
NEGATIVE	0.6296	0.4533	0.5271	0.3579	95.0
Micro-AVG	0.8246	0.5618	0.6682	0.5018	281.0
Macro-AVG	0.4938	0.3491	0.4084		281
